Chord	Type	Root	Class
Bb7	7	Bb	Dom
D7	7	D	Dom
C7	7	C	Dom
F7	7	F	Dom
B7	7	B	Dom
Eb7	7	Eb	Dom
Db7	7	Db	Dom
Gb7	7	Gb	Dom
E7	7	E	Dom
G7	7	G	Dom
Ab7	7	Ab	Dom
A7	7	A	Dom
F-7	-7	F	Min
A-7	-7	A	Min
G-7	-7	G	Min
Gb-7	-7	Gb	Min
Bb-7	-7	Bb	Min
Ab-7	-7	Ab	Min
B-7	-7	B	Min
C-7	-7	C	Min
Db-7	-7	Db	Min
D-7	-7	D	Min
Eb-7	-7	Eb	Min
E-7	-7	E	Min
Eb	Maj	Eb	Maj
G	Maj	G	Maj
E	Maj	E	Maj
Ab	Maj	Ab	Maj
F	Maj	F	Maj
A	Maj	A	Maj
Gb	Maj	Gb	Maj
Bb	Maj	Bb	Maj
B	Maj	B	Maj
C	Maj	C	Maj
Db	Maj	Db	Maj
D	Maj	D	Maj
F^7	^7	F	Maj
Db^7	^7	Db	Maj
A^7	^7	A	Maj
Bb^7	^7	Bb	Maj
Gb^7	^7	Gb	Maj
D^7	^7	D	Maj
B^7	^7	B	Maj
G^7	^7	G	Maj
Eb^7	^7	Eb	Maj
C^7	^7	C	Maj
Ab^7	^7	Ab	Maj
E^7	^7	E	Maj
F-	-	F	Min
C-	-	C	Min
Gb-	-	Gb	Min
Db-	-	Db	Min
G-	-	G	Min
D-	-	D	Min
Ab-	-	Ab	Min
Eb-	-	Eb	Min
A-	-	A	Min
E-	-	E	Min
Bb-	-	Bb	Min
B-	-	B	Min
F6	6	F	Maj
Gb6	6	Gb	Maj
G6	6	G	Maj
Ab6	6	Ab	Maj
A6	6	A	Maj
Bb6	6	Bb	Maj
B6	6	B	Maj
C6	6	C	Maj
Db6	6	Db	Maj
D6	6	D	Maj
Eb6	6	Eb	Maj
E6	6	E	Maj
Db7b9	7b9	Db	Dom
D7b9	7b9	D	Dom
Eb7b9	7b9	Eb	Dom
E7b9	7b9	E	Dom
F7b9	7b9	F	Dom
Gb7b9	7b9	Gb	Dom
G7b9	7b9	G	Dom
Ab7b9	7b9	Ab	Dom
A7b9	7b9	A	Dom
Bb7b9	7b9	Bb	Dom
B7b9	7b9	B	Dom
C7b9	7b9	C	Dom
Bh7	h7	B	Hdim
Gbh7	h7	Gb	Hdim
Ch7	h7	C	Hdim
Gh7	h7	G	Hdim
Dbh7	h7	Db	Hdim
Abh7	h7	Ab	Hdim
Dh7	h7	D	Hdim
Ah7	h7	A	Hdim
Ebh7	h7	Eb	Hdim
Bbh7	h7	Bb	Hdim
Eh7	h7	E	Hdim
Fh7	h7	F	Hdim
Gbo7	o7	Gb	Dim
Go7	o7	G	Dim
Abo7	o7	Ab	Dim
Ao7	o7	A	Dim
Bbo7	o7	Bb	Dim
Bo7	o7	B	Dim
Co7	o7	C	Dim
Dbo7	o7	Db	Dim
Do7	o7	D	Dim
Ebo7	o7	Eb	Dim
Eo7	o7	E	Dim
Fo7	o7	F	Dim
C9	9	C	Dom
G9	9	G	Dom
F9	9	F	Dom
D9	9	D	Dom
Db9	9	Db	Dom
Ab9	9	Ab	Dom
Gb9	9	Gb	Dom
Eb9	9	Eb	Dom
A9	9	A	Dom
E9	9	E	Dom
Bb9	9	Bb	Dom
B9	9	B	Dom
Eo	o	E	Dim
Gbo	o	Gb	Dim
Fo	o	F	Dim
Go	o	G	Dim
Abo	o	Ab	Dim
Ao	o	A	Dim
Bbo	o	Bb	Dim
Bo	o	B	Dim
Co	o	C	Dim
Dbo	o	Db	Dim
Do	o	D	Dim
Ebo	o	Eb	Dim
Eb-6	-6	Eb	Min
E-6	-6	E	Min
F-6	-6	F	Min
Gb-6	-6	Gb	Min
G-6	-6	G	Min
Ab-6	-6	Ab	Min
A-6	-6	A	Min
Bb-6	-6	Bb	Min
B-6	-6	B	Min
C-6	-6	C	Min
Db-6	-6	Db	Min
D-6	-6	D	Min
F7sus	7sus	F	Dom
Gb7sus	7sus	Gb	Dom
G7sus	7sus	G	Dom
Ab7sus	7sus	Ab	Dom
A7sus	7sus	A	Dom
Bb7sus	7sus	Bb	Dom
B7sus	7sus	B	Dom
C7sus	7sus	C	Dom
Db7sus	7sus	Db	Dom
D7sus	7sus	D	Dom
Eb7sus	7sus	Eb	Dom
E7sus	7sus	E	Dom
E7#9	7#9	E	Dom
B7#9	7#9	B	Dom
F7#9	7#9	F	Dom
C7#9	7#9	C	Dom
Gb7#9	7#9	Gb	Dom
Db7#9	7#9	Db	Dom
G7#9	7#9	G	Dom
D7#9	7#9	D	Dom
Ab7#9	7#9	Ab	Dom
Eb7#9	7#9	Eb	Dom
A7#9	7#9	A	Dom
Bb7#9	7#9	Bb	Dom
Gb-11	-11	Gb	Min
A-11	-11	A	Min
G-11	-11	G	Min
Bb-11	-11	Bb	Min
Ab-11	-11	Ab	Min
B-11	-11	B	Min
C-11	-11	C	Min
Db-11	-11	Db	Min
D-11	-11	D	Min
Eb-11	-11	Eb	Min
E-11	-11	E	Min
F-11	-11	F	Min
F-9	-9	F	Min
Gb-9	-9	Gb	Min
G-9	-9	G	Min
Ab-9	-9	Ab	Min
A-9	-9	A	Min
Bb-9	-9	Bb	Min
B-9	-9	B	Min
C-9	-9	C	Min
Db-9	-9	Db	Min
D-9	-9	D	Min
Eb-9	-9	Eb	Min
E-9	-9	E	Min
G7#5	7#5	G	Dom
Ab7#5	7#5	Ab	Dom
A7#5	7#5	A	Dom
Bb7#5	7#5	Bb	Dom
B7#5	7#5	B	Dom
C7#5	7#5	C	Dom
Db7#5	7#5	Db	Dom
D7#5	7#5	D	Dom
Eb7#5	7#5	Eb	Dom
E7#5	7#5	E	Dom
F7#5	7#5	F	Dom
Gb7#5	7#5	Gb	Dom
Bb13	13	Bb	Dom
Eb13	13	Eb	Dom
B13	13	B	Dom
E13	13	E	Dom
C13	13	C	Dom
F13	13	F	Dom
Db13	13	Db	Dom
Gb13	13	Gb	Dom
D13	13	D	Dom
G13	13	G	Dom
Ab13	13	Ab	Dom
A13	13	A	Dom
E7#11	7#11	E	Dom
F7#11	7#11	F	Dom
Gb7#11	7#11	Gb	Dom
G7#11	7#11	G	Dom
Ab7#11	7#11	Ab	Dom
A7#11	7#11	A	Dom
Bb7#11	7#11	Bb	Dom
B7#11	7#11	B	Dom
C7#11	7#11	C	Dom
Db7#11	7#11	Db	Dom
D7#11	7#11	D	Dom
Eb7#11	7#11	Eb	Dom
C^7#11	^7#11	C	Maj
G^7#11	^7#11	G	Maj
Db^7#11	^7#11	Db	Maj
Ab^7#11	^7#11	Ab	Maj
D^7#11	^7#11	D	Maj
A^7#11	^7#11	A	Maj
Eb^7#11	^7#11	Eb	Maj
Bb^7#11	^7#11	Bb	Maj
E^7#11	^7#11	E	Maj
B^7#11	^7#11	B	Maj
F^7#11	^7#11	F	Maj
Gb^7#11	^7#11	Gb	Maj
G+	+	G	Aug
Ab+	+	Ab	Aug
A+	+	A	Aug
Bb+	+	Bb	Aug
B+	+	B	Aug
C+	+	C	Aug
Db+	+	Db	Aug
D+	+	D	Aug
Eb+	+	Eb	Aug
E+	+	E	Aug
F+	+	F	Aug
Gb+	+	Gb	Aug
Bb7b13	7b13	Bb	Dom
Ab7b13	7b13	Ab	Dom
B7b13	7b13	B	Dom
A7b13	7b13	A	Dom
C7b13	7b13	C	Dom
Db7b13	7b13	Db	Dom
D7b13	7b13	D	Dom
Eb7b13	7b13	Eb	Dom
E7b13	7b13	E	Dom
F7b13	7b13	F	Dom
Gb7b13	7b13	Gb	Dom
G7b13	7b13	G	Dom
C^9	^9	C	Maj
Db^9	^9	Db	Maj
D^9	^9	D	Maj
Eb^9	^9	Eb	Maj
E^9	^9	E	Maj
F^9	^9	F	Maj
Gb^9	^9	Gb	Maj
G^9	^9	G	Maj
Ab^9	^9	Ab	Maj
A^9	^9	A	Maj
Bb^9	^9	Bb	Maj
B^9	^9	B	Maj
Eb9sus	9sus	Eb	Dom
Ab9sus	9sus	Ab	Dom
E9sus	9sus	E	Dom
A9sus	9sus	A	Dom
F9sus	9sus	F	Dom
Bb9sus	9sus	Bb	Dom
Gb9sus	9sus	Gb	Dom
B9sus	9sus	B	Dom
G9sus	9sus	G	Dom
C9sus	9sus	C	Dom
Db9sus	9sus	Db	Dom
D9sus	9sus	D	Dom
F-^7	-^7	F	Min
Gb-^7	-^7	Gb	Min
G-^7	-^7	G	Min
Ab-^7	-^7	Ab	Min
A-^7	-^7	A	Min
Bb-^7	-^7	Bb	Min
B-^7	-^7	B	Min
C-^7	-^7	C	Min
Db-^7	-^7	Db	Min
D-^7	-^7	D	Min
Eb-^7	-^7	Eb	Min
E-^7	-^7	E	Min
D^	^	D	Maj
Eb^	^	Eb	Maj
E^	^	E	Maj
F^	^	F	Maj
Gb^	^	Gb	Maj
G^	^	G	Maj
Ab^	^	Ab	Maj
A^	^	A	Maj
Bb^	^	Bb	Maj
B^	^	B	Maj
C^	^	C	Maj
Db^	^	Db	Maj
F69	69	F	Maj
C69	69	C	Maj
Gb69	69	Gb	Maj
Db69	69	Db	Maj
G69	69	G	Maj
D69	69	D	Maj
Ab69	69	Ab	Maj
Eb69	69	Eb	Maj
A69	69	A	Maj
E69	69	E	Maj
Bb69	69	Bb	Maj
B69	69	B	Maj
Gh	h	G	Hdim
Abh	h	Ab	Hdim
Ah	h	A	Hdim
Bbh	h	Bb	Hdim
Bh	h	B	Hdim
Ch	h	C	Hdim
Dbh	h	Db	Hdim
Dh	h	D	Hdim
Ebh	h	Eb	Hdim
Eh	h	E	Hdim
Fh	h	F	Hdim
Gbh	h	Gb	Hdim
D7#9#5	7#9#5	D	Dom
A7#9#5	7#9#5	A	Dom
Eb7#9#5	7#9#5	Eb	Dom
Bb7#9#5	7#9#5	Bb	Dom
E7#9#5	7#9#5	E	Dom
B7#9#5	7#9#5	B	Dom
F7#9#5	7#9#5	F	Dom
C7#9#5	7#9#5	C	Dom
Gb7#9#5	7#9#5	Gb	Dom
Db7#9#5	7#9#5	Db	Dom
G7#9#5	7#9#5	G	Dom
Ab7#9#5	7#9#5	Ab	Dom
D7b5	7b5	D	Dom
Eb7b5	7b5	Eb	Dom
E7b5	7b5	E	Dom
F7b5	7b5	F	Dom
Gb7b5	7b5	Gb	Dom
G7b5	7b5	G	Dom
Ab7b5	7b5	Ab	Dom
A7b5	7b5	A	Dom
Bb7b5	7b5	Bb	Dom
B7b5	7b5	B	Dom
C7b5	7b5	C	Dom
Db7b5	7b5	Db	Dom
Eb9#11	9#11	Eb	Dom
E9#11	9#11	E	Dom
F9#11	9#11	F	Dom
Gb9#11	9#11	Gb	Dom
G9#11	9#11	G	Dom
Ab9#11	9#11	Ab	Dom
A9#11	9#11	A	Dom
Bb9#11	9#11	Bb	Dom
B9#11	9#11	B	Dom
C9#11	9#11	C	Dom
Db9#11	9#11	Db	Dom
D9#11	9#11	D	Dom
Dbsus	sus	Db	Maj
Dsus	sus	D	Maj
Ebsus	sus	Eb	Maj
Esus	sus	E	Maj
Fsus	sus	F	Maj
Gbsus	sus	Gb	Maj
Gsus	sus	G	Maj
Absus	sus	Ab	Maj
Asus	sus	A	Maj
Bbsus	sus	Bb	Maj
Bsus	sus	B	Maj
Csus	sus	C	Maj
G13b9	13b9	G	Dom
Ab13b9	13b9	Ab	Dom
A13b9	13b9	A	Dom
Bb13b9	13b9	Bb	Dom
B13b9	13b9	B	Dom
C13b9	13b9	C	Dom
Db13b9	13b9	Db	Dom
D13b9	13b9	D	Dom
Eb13b9	13b9	Eb	Dom
E13b9	13b9	E	Dom
F13b9	13b9	F	Dom
Gb13b9	13b9	Gb	Dom
Dadd9	add9	D	Maj
Ebadd9	add9	Eb	Maj
Eadd9	add9	E	Maj
Fadd9	add9	F	Maj
Gbadd9	add9	Gb	Maj
Gadd9	add9	G	Maj
Abadd9	add9	Ab	Maj
Aadd9	add9	A	Maj
Bbadd9	add9	Bb	Maj
Badd9	add9	B	Maj
Cadd9	add9	C	Maj
Dbadd9	add9	Db	Maj
D-b6	-b6	D	Min
Eb-b6	-b6	Eb	Min
E-b6	-b6	E	Min
F-b6	-b6	F	Min
Gb-b6	-b6	Gb	Min
G-b6	-b6	G	Min
Ab-b6	-b6	Ab	Min
A-b6	-b6	A	Min
Bb-b6	-b6	Bb	Min
B-b6	-b6	B	Min
C-b6	-b6	C	Min
Db-b6	-b6	Db	Min
C13sus	13sus	C	Dom
Db13sus	13sus	Db	Dom
D13sus	13sus	D	Dom
Eb13sus	13sus	Eb	Dom
E13sus	13sus	E	Dom
F13sus	13sus	F	Dom
Gb13sus	13sus	Gb	Dom
G13sus	13sus	G	Dom
Ab13sus	13sus	Ab	Dom
A13sus	13sus	A	Dom
Bb13sus	13sus	Bb	Dom
B13sus	13sus	B	Dom
Bb7b9sus	7b9sus	Bb	Dom
B7b9sus	7b9sus	B	Dom
C7b9sus	7b9sus	C	Dom
Db7b9sus	7b9sus	Db	Dom
D7b9sus	7b9sus	D	Dom
Eb7b9sus	7b9sus	Eb	Dom
E7b9sus	7b9sus	E	Dom
F7b9sus	7b9sus	F	Dom
Gb7b9sus	7b9sus	Gb	Dom
G7b9sus	7b9sus	G	Dom
Ab7b9sus	7b9sus	Ab	Dom
A7b9sus	7b9sus	A	Dom
Bb7b9#5	7b9#5	Bb	Dom
B7b9#5	7b9#5	B	Dom
C7b9#5	7b9#5	C	Dom
Db7b9#5	7b9#5	Db	Dom
D7b9#5	7b9#5	D	Dom
Eb7b9#5	7b9#5	Eb	Dom
E7b9#5	7b9#5	E	Dom
F7b9#5	7b9#5	F	Dom
Gb7b9#5	7b9#5	Gb	Dom
G7b9#5	7b9#5	G	Dom
Ab7b9#5	7b9#5	Ab	Dom
A7b9#5	7b9#5	A	Dom
E13#11	13#11	E	Dom
F13#11	13#11	F	Dom
Gb13#11	13#11	Gb	Dom
G13#11	13#11	G	Dom
Ab13#11	13#11	Ab	Dom
A13#11	13#11	A	Dom
Bb13#11	13#11	Bb	Dom
B13#11	13#11	B	Dom
C13#11	13#11	C	Dom
Db13#11	13#11	Db	Dom
D13#11	13#11	D	Dom
Eb13#11	13#11	Eb	Dom
E^7#5	^7#5	E	Maj
F^7#5	^7#5	F	Maj
Gb^7#5	^7#5	Gb	Maj
G^7#5	^7#5	G	Maj
Ab^7#5	^7#5	Ab	Maj
A^7#5	^7#5	A	Maj
Bb^7#5	^7#5	Bb	Maj
B^7#5	^7#5	B	Maj
C^7#5	^7#5	C	Maj
Db^7#5	^7#5	Db	Maj
D^7#5	^7#5	D	Maj
Eb^7#5	^7#5	Eb	Maj
D-7b5	-7b5	D	Hdim
Eb-7b5	-7b5	Eb	Hdim
E-7b5	-7b5	E	Hdim
F-7b5	-7b5	F	Hdim
Gb-7b5	-7b5	Gb	Hdim
G-7b5	-7b5	G	Hdim
Ab-7b5	-7b5	Ab	Hdim
A-7b5	-7b5	A	Hdim
Bb-7b5	-7b5	Bb	Hdim
B-7b5	-7b5	B	Hdim
C-7b5	-7b5	C	Hdim
Db-7b5	-7b5	Db	Hdim
Gb^9#11	^9#11	Gb	Maj
G^9#11	^9#11	G	Maj
Ab^9#11	^9#11	Ab	Maj
A^9#11	^9#11	A	Maj
Bb^9#11	^9#11	Bb	Maj
B^9#11	^9#11	B	Maj
C^9#11	^9#11	C	Maj
Db^9#11	^9#11	Db	Maj
D^9#11	^9#11	D	Maj
Eb^9#11	^9#11	Eb	Maj
E^9#11	^9#11	E	Maj
F^9#11	^9#11	F	Maj
Bb7b9b5	7b9b5	Bb	Dom
B7b9b5	7b9b5	B	Dom
C7b9b5	7b9b5	C	Dom
Db7b9b5	7b9b5	Db	Dom
D7b9b5	7b9b5	D	Dom
Eb7b9b5	7b9b5	Eb	Dom
E7b9b5	7b9b5	E	Dom
F7b9b5	7b9b5	F	Dom
Gb7b9b5	7b9b5	Gb	Dom
G7b9b5	7b9b5	G	Dom
Ab7b9b5	7b9b5	Ab	Dom
A7b9b5	7b9b5	A	Dom
Bb9#5	9#5	Bb	Dom
B9#5	9#5	B	Dom
C9#5	9#5	C	Dom
Db9#5	9#5	Db	Dom
D9#5	9#5	D	Dom
Eb9#5	9#5	Eb	Dom
E9#5	9#5	E	Dom
F9#5	9#5	F	Dom
Gb9#5	9#5	Gb	Dom
G9#5	9#5	G	Dom
Ab9#5	9#5	Ab	Dom
A9#5	9#5	A	Dom
C-69	-69	C	Min
Db-69	-69	Db	Min
D-69	-69	D	Min
Eb-69	-69	Eb	Min
E-69	-69	E	Min
F-69	-69	F	Min
Gb-69	-69	Gb	Min
G-69	-69	G	Min
Ab-69	-69	Ab	Min
A-69	-69	A	Min
Bb-69	-69	Bb	Min
B-69	-69	B	Min
A7b9b13	7b9b13	A	Dom
E7b9b13	7b9b13	E	Dom
Bb7b9b13	7b9b13	Bb	Dom
F7b9b13	7b9b13	F	Dom
B7b9b13	7b9b13	B	Dom
Gb7b9b13	7b9b13	Gb	Dom
C7b9b13	7b9b13	C	Dom
G7b9b13	7b9b13	G	Dom
Db7b9b13	7b9b13	Db	Dom
Ab7b9b13	7b9b13	Ab	Dom
D7b9b13	7b9b13	D	Dom
Eb7b9b13	7b9b13	Eb	Dom
C7#9b5	7#9b5	C	Dom
F7#9b5	7#9b5	F	Dom
Db7#9b5	7#9b5	Db	Dom
Gb7#9b5	7#9b5	Gb	Dom
D7#9b5	7#9b5	D	Dom
G7#9b5	7#9b5	G	Dom
Eb7#9b5	7#9b5	Eb	Dom
Ab7#9b5	7#9b5	Ab	Dom
E7#9b5	7#9b5	E	Dom
A7#9b5	7#9b5	A	Dom
Bb7#9b5	7#9b5	Bb	Dom
B7#9b5	7#9b5	B	Dom
G7b9#11	7b9#11	G	Dom
Ab7b9#11	7b9#11	Ab	Dom
A7b9#11	7b9#11	A	Dom
Bb7b9#11	7b9#11	Bb	Dom
B7b9#11	7b9#11	B	Dom
C7b9#11	7b9#11	C	Dom
Db7b9#11	7b9#11	Db	Dom
D7b9#11	7b9#11	D	Dom
Eb7b9#11	7b9#11	Eb	Dom
E7b9#11	7b9#11	E	Dom
F7b9#11	7b9#11	F	Dom
Gb7b9#11	7b9#11	Gb	Dom
Db^13	^13	Db	Maj
D^13	^13	D	Maj
Eb^13	^13	Eb	Maj
E^13	^13	E	Maj
F^13	^13	F	Maj
Gb^13	^13	Gb	Maj
G^13	^13	G	Maj
Ab^13	^13	Ab	Maj
A^13	^13	A	Maj
Bb^13	^13	Bb	Maj
B^13	^13	B	Maj
C^13	^13	C	Maj
Bb9b5	9b5	Bb	Dom
B9b5	9b5	B	Dom
C9b5	9b5	C	Dom
Db9b5	9b5	Db	Dom
D9b5	9b5	D	Dom
Eb9b5	9b5	Eb	Dom
E9b5	9b5	E	Dom
F9b5	9b5	F	Dom
Gb9b5	9b5	Gb	Dom
G9b5	9b5	G	Dom
Ab9b5	9b5	Ab	Dom
A9b5	9b5	A	Dom
C7#9#11	7#9#11	C	Dom
Db7#9#11	7#9#11	Db	Dom
D7#9#11	7#9#11	D	Dom
Eb7#9#11	7#9#11	Eb	Dom
E7#9#11	7#9#11	E	Dom
F7#9#11	7#9#11	F	Dom
Gb7#9#11	7#9#11	Gb	Dom
G7#9#11	7#9#11	G	Dom
Ab7#9#11	7#9#11	Ab	Dom
A7#9#11	7#9#11	A	Dom
Bb7#9#11	7#9#11	Bb	Dom
B7#9#11	7#9#11	B	Dom
Gb2	2	Gb	Maj
Ab2	2	Ab	Maj
G2	2	G	Maj
A2	2	A	Maj
Bb2	2	Bb	Maj
B2	2	B	Maj
C2	2	C	Maj
Db2	2	Db	Maj
D2	2	D	Maj
Eb2	2	Eb	Maj
E2	2	E	Maj
F2	2	F	Maj
C11	11	C	Dom
Db11	11	Db	Dom
D11	11	D	Dom
Eb11	11	Eb	Dom
E11	11	E	Dom
F11	11	F	Dom
Gb11	11	Gb	Dom
G11	11	G	Dom
Ab11	11	Ab	Dom
A11	11	A	Dom
Bb11	11	Bb	Dom
B11	11	B	Dom
G5	5	G	Maj
Ab5	5	Ab	Maj
A5	5	A	Maj
Bb5	5	Bb	Maj
B5	5	B	Maj
C5	5	C	Maj
Db5	5	Db	Maj
D5	5	D	Maj
Eb5	5	Eb	Maj
E5	5	E	Maj
F5	5	F	Maj
Gb5	5	Gb	Maj
Bb7b13sus	7b13sus	Bb	Dom
B7b13sus	7b13sus	B	Dom
C7b13sus	7b13sus	C	Dom
Db7b13sus	7b13sus	Db	Dom
D7b13sus	7b13sus	D	Dom
Eb7b13sus	7b13sus	Eb	Dom
E7b13sus	7b13sus	E	Dom
F7b13sus	7b13sus	F	Dom
Gb7b13sus	7b13sus	Gb	Dom
G7b13sus	7b13sus	G	Dom
Ab7b13sus	7b13sus	Ab	Dom
A7b13sus	7b13sus	A	Dom
E-#5	-#5	E	Min
F-#5	-#5	F	Min
Gb-#5	-#5	Gb	Min
G-#5	-#5	G	Min
Ab-#5	-#5	Ab	Min
A-#5	-#5	A	Min
Bb-#5	-#5	Bb	Min
B-#5	-#5	B	Min
C-#5	-#5	C	Min
Db-#5	-#5	Db	Min
D-#5	-#5	D	Min
Eb-#5	-#5	Eb	Min
Gb7susadd3	7susadd3	Gb	Dom
F7susadd3	7susadd3	F	Dom
G7susadd3	7susadd3	G	Dom
Ab7susadd3	7susadd3	Ab	Dom
A7susadd3	7susadd3	A	Dom
Bb7susadd3	7susadd3	Bb	Dom
B7susadd3	7susadd3	B	Dom
C7susadd3	7susadd3	C	Dom
Db7susadd3	7susadd3	Db	Dom
D7susadd3	7susadd3	D	Dom
Eb7susadd3	7susadd3	Eb	Dom
E7susadd3	7susadd3	E	Dom
F7b9#9	7b9#9	F	Dom
Gb7b9#9	7b9#9	Gb	Dom
G7b9#9	7b9#9	G	Dom
Ab7b9#9	7b9#9	Ab	Dom
A7b9#9	7b9#9	A	Dom
Bb7b9#9	7b9#9	Bb	Dom
B7b9#9	7b9#9	B	Dom
C7b9#9	7b9#9	C	Dom
Db7b9#9	7b9#9	Db	Dom
D7b9#9	7b9#9	D	Dom
Eb7b9#9	7b9#9	Eb	Dom
E7b9#9	7b9#9	E	Dom
D-^9	-^9	D	Min
Eb-^9	-^9	Eb	Min
E-^9	-^9	E	Min
F-^9	-^9	F	Min
Gb-^9	-^9	Gb	Min
G-^9	-^9	G	Min
Ab-^9	-^9	Ab	Min
A-^9	-^9	A	Min
Bb-^9	-^9	Bb	Min
B-^9	-^9	B	Min
C-^9	-^9	C	Min
Db-^9	-^9	Db	Min
Gh9	h9	G	Hdim
Abh9	h9	Ab	Hdim
Ah9	h9	A	Hdim
Bbh9	h9	Bb	Hdim
Bh9	h9	B	Hdim
Ch9	h9	C	Hdim
Dbh9	h9	Db	Hdim
Dh9	h9	D	Hdim
Ebh9	h9	Eb	Hdim
Eh9	h9	E	Hdim
Fh9	h9	F	Hdim
Gbh9	h9	Gb	Hdim
Ab13#9	13#9	Ab	Dom
A13#9	13#9	A	Dom
Bb13#9	13#9	Bb	Dom
B13#9	13#9	B	Dom
C13#9	13#9	C	Dom
Db13#9	13#9	Db	Dom
D13#9	13#9	D	Dom
Eb13#9	13#9	Eb	Dom
E13#9	13#9	E	Dom
F13#9	13#9	F	Dom
Gb13#9	13#9	Gb	Dom
G13#9	13#9	G	Dom
